orig_index,text,label,label_name,n_turns,total_chars,true_label_id,pred_label_id,true_label,pred_label,is_wrong,error_pair,top1_label,top1_prob,top2_label,top2_prob,margin,prob_협박,prob_갈취,prob_직장내괴롭힘,prob_기타괴롭힘,prob_일반대화
6,죄송하지만 부탁인데 마스크좀 써주세요 [턴] 니가 뭔데 마스크 쓰라 말아야 [턴] 공공장소에서 마스크도 안쓰시는데 본인때문에 [턴] 다른 사람들 코로나 감염이라도 되면 배상하실겁니까 [턴] 내가 왜 배상해야하는데 마스크쓰는거 답답해서 못쓰겠다 [턴] 마스크 쓰지 않으시면 신고하겠습니다 [턴] 뭐 신고? 신고해봐 신고하면 가만히 안둘꺼야 [턴] 마스크 쓰기를 거부하시니 신고하겠습니다 [턴] 신고해봐 어자피 벌금몇푼내면 끝이야 [턴] 신고할테면 신고해봐 [턴] 좋은말로 알때 마스크 써주세요 [턴] 싫은데 내가 왜써야되냐 신고할거면 빨리신고해 뜸들이지 말고,3,기타 괴롭힘 대화,12.0,256.0,3,1,기타괴롭힘,갈취,True,기타괴롭힘 → 갈취,갈취,0.49203444553126496,기타괴롭힘,0.46950254781238654,0.022531897718878424,0.030606272612381885,0.49203444553126496,0.0070184944223427165,0.46950254781238654,0.0008382396216238063
28,아! 사장님! 음식에서 이물질이 니왔어요? [턴] 네? 그럴리가 없는데 [턴] 아니 사과는 못할 망정 뭐라구요? [턴] 일단 죄송합니다. 그런데 조리 과정에서 이물질이 발생할 일이 없어서요. [턴] 이게 지금 사과하는 태도입니까? [턴] 다시 한 번 사과드립니다. 음식은 다시 해드리겠습니다. [턴] 지금 나 보고 여기서 계속 음식을 먹으라는 거예요? 그냥 환불해주고 정신적 보상까지 해주셔야겠어요. [턴] 죄송하지만 그건 좀. [턴] 뭐 이런데가 다 있어? 리뷰에 내가 지금 일 다 올리고! 구청에도 신고할거야! 장사 못하게 될 줄 알아! [턴] 죄송합니다.제발 그것만은.,1,갈취 대화,10.0,276.0,1,3,갈취,기타괴롭힘,True,갈취 → 기타괴롭힘,기타괴롭힘,0.9486805013325261,갈취,0.02803875606055336,0.9206417452719727,0.004063103429628243,0.02803875606055336,0.0186322936299124,0.9486805013325261,0.0005853455473799088
33,아 우리 옆집 주말마다 친구 데려와서 시끄러워 [턴] 원룸이라 방음이 잘 안돼? [턴] 완전 안돼 투명벽 수준이야 [턴] 주말이면 뭐 이해해 줄만 한데.. [턴] 이해의 범위를 넘어서 놀아 [턴] 뭐 어떻게 노는데? [턴] 새벽 3시까지 고성방가야 [턴] 엥? 그정도면 너무 심한데 [턴] 따지는 것도 한 두 번이지 말 안 들어 [턴] 너무 어려서 그런가보다,4,일반 대화,10.0,156.0,4,3,일반대화,기타괴롭힘,True,일반대화 → 기타괴롭힘,기타괴롭힘,0.9710612110118907,일반대화,0.012464950619702127,0.9585962603921886,0.004712716556968227,0.002091255295329219,0.009669866516109765,0.9710612110118907,0.012464950619702127
37,야 너 이번에 신입사원 봤냐? 진짜 못생김 [턴] 너도 봤냐? 나도 어제 보고 깜놀 [턴] 아니 못생겼으면 꾸미기라도 하지 얼굴도 쌩얼 [턴] 그니깐. 우리 평균 외모 떨어질듯 [턴] 너 쟤랑 다음주에 같은 프로젝트 들어가지 않냐? [턴] 아 그러니까 진짜 할 맛 안나네 [턴] 야 너 진짜 불쌍 난 최대한 안 엮일라고 [턴] 아 진짜 다음주에 같이 어떻게 하냐 [턴] 옆에 가면 냄새 나는지 알려주삼 [턴] 아 진짜 벌써 짜증나네,2,직장 내 괴롭힘 대화,10.0,196.0,2,3,직장내괴롭힘,기타괴롭힘,True,직장내괴롭힘 → 기타괴롭힘,기타괴롭힘,0.9896738548482117,직장내괴롭힘,0.005528272884508435,0.9841455819637033,0.002065764651807499,0.0014087290984360736,0.005528272884508435,0.9896738548482117,0.0013233785170362982
43,유튜브 보니까 기절놀이가 유행이라는데 해보자. [턴] 그거 나도 봤는데 위험해 [턴] 뭐가 위험해 이리와봐 [턴] 아니야 싫어. 나한테 하지마 [턴] 맞고 올래? 그냥 올래? [턴] 그러면 살살해야해 [턴] 살살하는게 어딨어 그럼 기절 못하지 [턴] 으.윽 [턴] 오. 버티네? [턴] 으.윽 살려줘,3,기타 괴롭힘 대화,10.0,122.0,3,0,기타괴롭힘,협박,True,기타괴롭힘 → 협박,협박,0.9171107348879616,기타괴롭힘,0.07183366390205548,0.8452770709859061,0.9171107348879616,0.007057146016000478,0.0023090893424280922,0.07183366390205548,0.0016893658515545163
65,행복을 드리는 콜센터 입니다. 무엇을 도와드릴까요? [턴] 아가씨 이름 뭐에요? [턴] 필요하신 게 있다면 도와드리겠습니다. 무슨 일이신가요? [턴] 아가씨 오늘 끝나고 내가 데리러갈까? 어디 살아요? [턴] 상담원의 개인정보는 알려드릴 수가 없습니다. [턴] 뭐라고? 너 말 다했어? [턴] 말씀을 가려해주시길 부탁드립니다. [턴] 야 이년아 너 지금 내가 찾아간다. [턴] 상담원을 향한 언어폭행은 처벌의 대상이 됩니다. 고객님 제발 멈춰주세요. [턴] 멈추는 건 내맘이고 지금 당장 간다 딱 기다려. [턴] 경찰 부르겠습니다,3,기타 괴롭힘 대화,11.0,246.0,3,0,기타괴롭힘,협박,True,기타괴롭힘 → 협박,협박,0.9143405996052186,기타괴롭힘,0.04808117119892372,0.8662594284062949,0.9143405996052186,0.03503979442935678,0.002000111940630429,0.04808117119892372,0.0005383228258703223
99,와 이옷 좋아 보인다 [턴] 왜 그래 [턴] 야 옷 이리로 패스 [턴] 야 받아라 [턴] 어서 돌려줘 [턴] 야 오늘 심심한데 옷농구 어떠냐? [턴] 내가 멋지게 나 옷으로 골 넣어볼께 [턴] 엄마가 사주신 내 소중한 옷이야 어서 돌려줘 [턴] 야 니옷으로 농구하니까 농구할맛 난다 하하 [턴] 제발 돌려줘,3,기타 괴롭힘 대화,10.0,127.0,3,1,기타괴롭힘,갈취,True,기타괴롭힘 → 갈취,갈취,0.9771523724698916,기타괴롭힘,0.016200356115283785,0.9609520163546078,0.003722256607997665,0.9771523724698916,0.0023845671023610604,0.016200356115283785,0.0005404477044659713
100,야 1반 찐따 [턴] 왜 불러. [턴] 니네 누나는 너랑 다르게 찐따는 아니더라 반대던데? [턴] 어.어. [턴] 유전자 몰빵이 그런건가보지? [턴] 누나 이야기는 왜하는거야 [턴] 아니 니네 누나가 내스탈이라서 연락처좀 건내줘 [턴] 안돼.우리누나는 괴롭히지마 [턴] 누가 괴롭힌데 병신아 장난아니니까연락처 건네주라고 [턴] 시.싫어 [턴] 그래? 그럼 니입에서 좋다는 소리가 나올때까지 디지게 맞든가 [턴] 아니면 매형소리 나올때까지 쳐맞을까?,0,협박 대화,12.0,195.0,0,3,협박,기타괴롭힘,True,협박 → 기타괴롭힘,기타괴롭힘,0.9749543328464928,협박,0.011350543540308651,0.9636037893061842,0.011350543540308651,0.01080963111659673,0.0022350545430003203,0.9749543328464928,0.0006504379536014857
107,왜 아직 입금이 안됐을까 [턴] 이제.그만하세요. [턴] 내가 말했잖아. 니 목숨은 내가 쥐고있다고 [턴] 한번이면 된다고 했잖아요. [턴] 생각해보니깐 한번으로 안되겠더라. 니 비밀 [턴] 그건 실수예요. [턴] 실수?그러면 내가 니 비밀 폭로해도 되겠네 [턴] 저도 괴로워요. [턴] 그러니깐 입금하면 이번엔 턴다니깐? 네 비밀 지켜줄게. [턴] 제발 . 이번으로 끝내주세요. [턴] 그래 이렇게 나오면 너나 나나 얼마나 좋니 입금해. [턴] 기다려주세요.,1,갈취 대화,12.0,202.0,1,0,갈취,협박,True,갈취 → 협박,협박,0.9448888464086466,갈취,0.04853655851121927,0.8963522878974273,0.9448888464086466,0.04853655851121927,0.0015360163784586386,0.004015371205229352,0.0010232074964461326
119,여어 야 너 랑 만나지? [턴] 아. 어. 그렇게 됐어. [턴] 하아 너 진짜 대단하네. 는 뻔히 랑 진지하게 만나는 거 알고 있는데 네가 낀거자너? 진짜 뻔뻔하네? [턴] 아니. 이미 그때 둘 사이가 이미 소원해서 그런거 아냐. [턴] 아니긴 뭐가 아냐 내가 다 아는데. 너 진짜 얼글 철판 제대로 깔았다 내가 확 들한테 다 불어버린다 너 제대로 퉁수 쳤다고? [턴] 아니야. 그러지마. 그냥 조용하게 만나다가 나중에 말할 생각이야. 네 일도 아니고 좀 나서지마. [턴] 아 이거 웃긴 놈년이네? 누가 누구한테 큰 소리야? 확 네 직장이랑 동기들한테도 소문 낸다? [턴] 제발 좀 그러지마. 조용히 살자. 너한테 민폐 끼친 것도 아니잖니. [턴] 와 얘 진짜 미쳤네. 너 지금 잠깐 즐기렴. 난 분명 경도했다. 나중에 모라고 하지마. [턴] 아냐 내가 다 미안해. 제발 어디 소문 좀 내지 말아줘. 제발. 이렇게 부탁해. [턴] 그걸 맨 입으로? [턴] 내가 어떡하면 좋겠니? [턴] 아니 내가 뭐 돈 달라긴 모 하고 너랑 나랑 같은 직장이잖니. 요즘 주말에 당직 많던데 그거 좀 대신 해 줄 수 있을까? 요새 주말에 내가 좀 바빠서. [턴] 하아. 알았어. 대신 아무한테도 말하면 안돼? [턴] 알았어. 걱정마. 내가 싹 잊을게!,1,갈취 대화,15.0,564.0,1,3,갈취,기타괴롭힘,True,갈취 → 기타괴롭힘,기타괴롭힘,0.9876650543399446,갈취,0.004887837010277302,0.9827772173296673,0.0032943821086640346,0.004887837010277302,0.0035620763757134174,0.9876650543399446,0.0005906501654005287
123,이거 도와주세요. [턴] 난 지금 바빠서 도와줄 시간이 없어. [턴] 넌 바쁠 때 항상 바쁜척 하더라 [턴] 바쁜척 하는 게 아니라 실제로 바빠. [턴] 지금까지 놀다가 바쁜척 하는 거 알아 [턴] 진짜 바쁘다니까. 내 말을 뭘로 알아 [턴] 니가 평상시에 하는 행동을 보면 매번 그렇더라 [턴] 니가 미쳤군. 사람 말을 못믿는 걸 보면 [턴] 너야 말로 진짜 미친 놈이야. [턴] 넌 이성을 잃었여. 평상시도 제정신이 아니었지만.,0,협박 대화,10.0,196.0,0,3,협박,기타괴롭힘,True,협박 → 기타괴롭힘,기타괴롭힘,0.9869219296069763,협박,0.0062225804721901656,0.9806993491347862,0.0062225804721901656,0.0015794725112043616,0.0038037871453222407,0.9869219296069763,0.0014722302643069471
127,오 신발샀냐? [턴] 응. 전에 신던게 다 헤져서.부모님이 사주셨어. [턴] 니네 집 꽤 사나보다? 이런 신발도 잘 사주시고? [턴] 응.? 그런건 아닌데.그래도 신발은 오래 신는 거라고. [턴] 잠깐 벗어봐. 나 한 번만 신어보자. [턴] 어.돌려줄거지.? [턴] 아 장난치냐 내가 그럼 니가 신 던거 가져갈까봐 그래? 빨리 내놔보라고. [턴] 잠깐만이야. [턴] 와 이거 딱 내 신발이네. 야 나 이거 몇일만 빌려주라 내가 신으니까 니가 신을 때보다 더 간지나잖아. 고맙다 잘 신을게 [턴] 돌려줘.! 정말 안돼.저번에도 너가 빌려갔다가.다 헤져서 산 거란 말이야.,3,기타 괴롭힘 대화,10.0,273.0,3,1,기타괴롭힘,갈취,True,기타괴롭힘 → 갈취,갈취,0.9886614452102985,기타괴롭힘,0.005067838790729236,0.9835936064195693,0.0038403776292100246,0.9886614452102985,0.0019085655762350858,0.005067838790729236,0.0005217727935271971
136,중구가 시키드나? 경찰들 논간에 놀아나는 거여 [턴] 어이 정청 이 짱개새꺄 우리가 개 호구로 보이냐? [턴] 이런 모지리들 [턴] 뭐 이새꺄!! [턴] 드루와 드루와 [턴] 이런 미친!! [턴] 야 다 드루와 드루와 [턴] 죽어 이 짱개 새꺄!! [턴] 너네는 오늘 내한테 다 죽는다!! [턴] 억!! 중구 형님.,0,협박 대화,10.0,132.0,0,3,협박,기타괴롭힘,True,협박 → 기타괴롭힘,기타괴롭힘,0.956075754851761,협박,0.03635406042758874,0.9197216944241723,0.03635406042758874,0.003585506156481629,0.0029493569141640632,0.956075754851761,0.0010353216500045724
