orig_index,text,label,label_name,n_turns,total_chars,true_label_id,pred_label_id,true_label,pred_label,is_wrong,error_pair,top1_label,top1_prob,top2_label,top2_prob,margin,prob_협박,prob_갈취,prob_직장내괴롭힘,prob_기타괴롭힘,prob_일반대화
6,죄송하지만 부탁인데 마스크좀 써주세요 [턴] 니가 뭔데 마스크 쓰라 말아야 [턴] 공공장소에서 마스크도 안쓰시는데 본인때문에 [턴] 다른 사람들 코로나 감염이라도 되면 배상하실겁니까 [턴] 내가 왜 배상해야하는데 마스크쓰는거 답답해서 못쓰겠다 [턴] 마스크 쓰지 않으시면 신고하겠습니다 [턴] 뭐 신고? 신고해봐 신고하면 가만히 안둘꺼야 [턴] 마스크 쓰기를 거부하시니 신고하겠습니다 [턴] 신고해봐 어자피 벌금몇푼내면 끝이야 [턴] 신고할테면 신고해봐 [턴] 좋은말로 알때 마스크 써주세요 [턴] 싫은데 내가 왜써야되냐 신고할거면 빨리신고해 뜸들이지 말고,3,기타 괴롭힘 대화,12.0,256.0,3,1,기타괴롭힘,갈취,True,기타괴롭힘 → 갈취,갈취,0.9372418876515171,협박,0.043835386409778014,0.893406501241739,0.043835386409778014,0.9372418876515171,0.0020824943877530678,0.014914239087909115,0.001925992463042832
28,아! 사장님! 음식에서 이물질이 니왔어요? [턴] 네? 그럴리가 없는데 [턴] 아니 사과는 못할 망정 뭐라구요? [턴] 일단 죄송합니다. 그런데 조리 과정에서 이물질이 발생할 일이 없어서요. [턴] 이게 지금 사과하는 태도입니까? [턴] 다시 한 번 사과드립니다. 음식은 다시 해드리겠습니다. [턴] 지금 나 보고 여기서 계속 음식을 먹으라는 거예요? 그냥 환불해주고 정신적 보상까지 해주셔야겠어요. [턴] 죄송하지만 그건 좀. [턴] 뭐 이런데가 다 있어? 리뷰에 내가 지금 일 다 올리고! 구청에도 신고할거야! 장사 못하게 될 줄 알아! [턴] 죄송합니다.제발 그것만은.,1,갈취 대화,10.0,276.0,1,3,갈취,기타괴롭힘,True,갈취 → 기타괴롭힘,기타괴롭힘,0.9859783740859467,갈취,0.007646587129155045,0.9783317869567917,0.004029468258157686,0.007646587129155045,0.0011911085419824498,0.9859783740859467,0.0011544619847580519
33,아 우리 옆집 주말마다 친구 데려와서 시끄러워 [턴] 원룸이라 방음이 잘 안돼? [턴] 완전 안돼 투명벽 수준이야 [턴] 주말이면 뭐 이해해 줄만 한데.. [턴] 이해의 범위를 넘어서 놀아 [턴] 뭐 어떻게 노는데? [턴] 새벽 3시까지 고성방가야 [턴] 엥? 그정도면 너무 심한데 [턴] 따지는 것도 한 두 번이지 말 안 들어 [턴] 너무 어려서 그런가보다,4,일반 대화,10.0,156.0,4,3,일반대화,기타괴롭힘,True,일반대화 → 기타괴롭힘,기타괴롭힘,0.9696661585051207,일반대화,0.024948048326945024,0.9447181101781758,0.002039876661070933,0.0016011175365330324,0.0017447989703304897,0.9696661585051207,0.024948048326945024
70,야 이강민 어떻게 됐어? [턴] 미안. [턴] 야 미쳤지 에어팟 하나 사주는게 그렇게 어려워 [턴] 이번달 용돈 다 줬잖아. 한 번만 봐주면 안될까? [턴] 내 알빠야 그게? 너 내일까지 안 사오면 두고봐 [턴] 제발 승우야 다음달에는 사줄수 있어 [턴] 닥쳐 니네 엄마 지갑이라도 털어서 사와라 안 사오면 니 동생 너처럼 만들줄 알아 [턴] 알겠어 사올게 제발 동생은 건들지마 [턴] 꺼져 알겠으니까 [턴] 응. 제발 동생은 건들지말아줘,1,갈취 대화,10.0,200.0,1,0,갈취,협박,True,갈취 → 협박,협박,0.5029067051806523,갈취,0.4874338925020848,0.015472812678567482,0.5029067051806523,0.4874338925020848,0.002722783427802042,0.004816113023754804,0.0021205058657060745
90,저 알뜰폰 개통하러 왔는데요 제일 괜찮고 비싼 요금제로 해주세요 [턴] 네 가격이 높은 요금제는 100기가에 29800원이 [턴] 말 끊고아니 됐고 괜찮고 비싼 요금제로 해달라니까? 나 사업하는 사람이라 시간이 생명이야. [턴] 아 네네 그러니까 요금제도 여러 통신사에 여러 요금제가 있어서요. 어떤 게 적합하실지 설명드리려고요 [턴] 아 진짜 말 못알아먹네 나이도 어린게 말 따박따박 [턴] 아니 제 말씀은 [턴] 그냥 해달라면 해달라고 !! 말 못알아 들어요? 비싼 요금제 해달라니까?!! [턴] 아 네 알겠습니다 그럼 가장 비싼걸로 해드리겠습니다. [턴] 아니 왜이렇게 비싸? 적당한걸로 해달라니까 진짜 말도 못알아 듣고 하 [턴] 제일 비싼 요금제로 해달라고 하셔서. [턴] 됐고 그 아래 요금제로 해주세요 내참 어이가 없어서 진짜,3,기타 괴롭힘 대화,11.0,365.0,3,1,기타괴롭힘,갈취,True,기타괴롭힘 → 갈취,갈취,0.5755293240124503,기타괴롭힘,0.40811140183124517,0.1674179221812051,0.004063989720378453,0.5755293240124503,0.00521826609412364,0.40811140183124517,0.007077018341802413
99,와 이옷 좋아 보인다 [턴] 왜 그래 [턴] 야 옷 이리로 패스 [턴] 야 받아라 [턴] 어서 돌려줘 [턴] 야 오늘 심심한데 옷농구 어떠냐? [턴] 내가 멋지게 나 옷으로 골 넣어볼께 [턴] 엄마가 사주신 내 소중한 옷이야 어서 돌려줘 [턴] 야 니옷으로 농구하니까 농구할맛 난다 하하 [턴] 제발 돌려줘,3,기타 괴롭힘 대화,10.0,127.0,3,1,기타괴롭힘,갈취,True,기타괴롭힘 → 갈취,갈취,0.9602272889548819,기타괴롭힘,0.034166051872293886,0.9260612370825879,0.0020518308984844736,0.9602272889548819,0.0021335665494278426,0.034166051872293886,0.0014212617249120447
100,야 1반 찐따 [턴] 왜 불러. [턴] 니네 누나는 너랑 다르게 찐따는 아니더라 반대던데? [턴] 어.어. [턴] 유전자 몰빵이 그런건가보지? [턴] 누나 이야기는 왜하는거야 [턴] 아니 니네 누나가 내스탈이라서 연락처좀 건내줘 [턴] 안돼.우리누나는 괴롭히지마 [턴] 누가 괴롭힌데 병신아 장난아니니까연락처 건네주라고 [턴] 시.싫어 [턴] 그래? 그럼 니입에서 좋다는 소리가 나올때까지 디지게 맞든가 [턴] 아니면 매형소리 나올때까지 쳐맞을까?,0,협박 대화,12.0,195.0,0,3,협박,기타괴롭힘,True,협박 → 기타괴롭힘,기타괴롭힘,0.9925378026912284,협박,0.003900881683158895,0.9886369210080694,0.003900881683158895,0.001690907048747166,0.0008841112288134558,0.9925378026912284,0.0009862973480520342
107,왜 아직 입금이 안됐을까 [턴] 이제.그만하세요. [턴] 내가 말했잖아. 니 목숨은 내가 쥐고있다고 [턴] 한번이면 된다고 했잖아요. [턴] 생각해보니깐 한번으로 안되겠더라. 니 비밀 [턴] 그건 실수예요. [턴] 실수?그러면 내가 니 비밀 폭로해도 되겠네 [턴] 저도 괴로워요. [턴] 그러니깐 입금하면 이번엔 턴다니깐? 네 비밀 지켜줄게. [턴] 제발 . 이번으로 끝내주세요. [턴] 그래 이렇게 나오면 너나 나나 얼마나 좋니 입금해. [턴] 기다려주세요.,1,갈취 대화,12.0,202.0,1,0,갈취,협박,True,갈취 → 협박,협박,0.7985870674779447,갈취,0.19266809635529367,0.605918971122651,0.7985870674779447,0.19266809635529367,0.003138614625544299,0.0041579888194445925,0.0014482327217728748
119,여어 야 너 랑 만나지? [턴] 아. 어. 그렇게 됐어. [턴] 하아 너 진짜 대단하네. 는 뻔히 랑 진지하게 만나는 거 알고 있는데 네가 낀거자너? 진짜 뻔뻔하네? [턴] 아니. 이미 그때 둘 사이가 이미 소원해서 그런거 아냐. [턴] 아니긴 뭐가 아냐 내가 다 아는데. 너 진짜 얼글 철판 제대로 깔았다 내가 확 들한테 다 불어버린다 너 제대로 퉁수 쳤다고? [턴] 아니야. 그러지마. 그냥 조용하게 만나다가 나중에 말할 생각이야. 네 일도 아니고 좀 나서지마. [턴] 아 이거 웃긴 놈년이네? 누가 누구한테 큰 소리야? 확 네 직장이랑 동기들한테도 소문 낸다? [턴] 제발 좀 그러지마. 조용히 살자. 너한테 민폐 끼친 것도 아니잖니. [턴] 와 얘 진짜 미쳤네. 너 지금 잠깐 즐기렴. 난 분명 경도했다. 나중에 모라고 하지마. [턴] 아냐 내가 다 미안해. 제발 어디 소문 좀 내지 말아줘. 제발. 이렇게 부탁해. [턴] 그걸 맨 입으로? [턴] 내가 어떡하면 좋겠니? [턴] 아니 내가 뭐 돈 달라긴 모 하고 너랑 나랑 같은 직장이잖니. 요즘 주말에 당직 많던데 그거 좀 대신 해 줄 수 있을까? 요새 주말에 내가 좀 바빠서. [턴] 하아. 알았어. 대신 아무한테도 말하면 안돼? [턴] 알았어. 걱정마. 내가 싹 잊을게!,1,갈취 대화,15.0,564.0,1,2,갈취,직장내괴롭힘,True,갈취 → 직장내괴롭힘,직장내괴롭힘,0.9807319946598311,기타괴롭힘,0.00795536147852314,0.9727766331813079,0.0074587883106322994,0.002886873914455455,0.9807319946598311,0.00795536147852314,0.0009669816365580846
120,야 니 어디사냐? [턴] 게임에서 그런건 왜 물어보세요 [턴] 아니 그냥 닥치고 말해라 니 어디사냐고 [턴] 아니 왜그러냐고요 저 초등학생인데 [턴] 초등학생? 너 내가 혼쭐 좀 내줘야겠다 빠져가지고는 [턴] 아 죄송합니다정말 죄송해요 제발. [턴] 야 전화번호 내놔 안그러면 고소한다 [턴] 아 제발요 아 제발 [턴] 안되겠다 닌 니 부모부터 가족까지 니로인해 다 고통받게 해줄게,0,협박 대화,9.0,173.0,0,1,협박,갈취,True,협박 → 갈취,갈취,0.8018426707486933,협박,0.1845946642911649,0.6172480064575284,0.1845946642911649,0.8018426707486933,0.0022172937428089254,0.009821448999969982,0.0015239222173628816
